"","Total_Size","Hits","Sig_Hits","Mummichog_Pvals","GSEA_Pvals","Combined_Pvals"
"Purine metabolism",30,30,20,0.00013,0.01064,2e-05
"Arginine and proline metabolism",37,37,23,0.00019,0.5859,0.0011
"Glycine, serine and threonine metabolism",33,33,21,0.00023,0.6458,0.00147
"Cysteine and methionine metabolism",20,20,11,0.03719,0.2727,0.0567
"D-Glutamine and D-glutamate metabolism",11,11,7,0.03918,0.35,0.07254
"Sphingolipid metabolism",4,4,3,0.114,0.1714,0.09641
"Butanoate metabolism",27,27,14,0.03454,0.5824,0.0987
"Taurine and hypotaurine metabolism",7,7,2,0.7475,0.03704,0.127
"Metabolism of xenobiotics by cytochrome P450",14,14,4,0.7552,0.04545,0.1501
"Amino sugar and nucleotide sugar metabolism",15,15,5,0.6137,0.07059,0.1793
"Ascorbate and aldarate metabolism",10,10,3,0.7147,0.075,0.2104
"Nitrogen metabolism",4,4,3,0.114,0.4714,0.2108
"Alanine, aspartate and glutamate metabolism",35,35,16,0.08547,0.75,0.2402
"beta-Alanine metabolism",22,22,8,0.4787,0.1538,0.2657
"Vitamin B6 metabolism",4,4,1,0.8094,0.09375,0.2716
"Porphyrin and chlorophyll metabolism",6,6,4,0.1029,0.7922,0.2858
"Synthesis and degradation of ketone bodies",7,7,4,0.1782,0.4938,0.3019
"Glycerolipid metabolism",4,4,3,0.114,0.9714,0.3543
"Propanoate metabolism",14,14,7,0.1539,0.75,0.3646
"Glycerophospholipid metabolism",5,5,3,0.2153,0.5676,0.3791
"Tyrosine metabolism",35,35,12,0.542,0.25,0.4064
"Nicotinate and nicotinamide metabolism",7,7,3,0.4399,0.3086,0.4068
"Phosphatidylinositol signaling system",4,4,1,0.8094,0.1714,0.4128
"Arginine biosynthesis",17,17,8,0.1772,0.7935,0.4164
"Glutathione metabolism",14,14,6,0.3209,0.4545,0.4266
"Terpenoid backbone biosynthesis",4,4,1,0.8094,0.1875,0.4379
"Drug metabolism - other enzymes",4,4,2,0.4155,0.3714,0.4427
"D-Arginine and D-ornithine metabolism",5,5,3,0.2153,0.7857,0.4698
"Glyoxylate and dicarboxylate metabolism",15,15,7,0.2097,0.9412,0.5177
"Folate biosynthesis",6,6,1,0.9175,0.2468,0.5628
"Histidine metabolism",25,25,9,0.4824,0.4725,0.565
"Aminoacyl-tRNA biosynthesis",27,27,9,0.5963,0.3846,0.5671
"Starch and sucrose metabolism",6,6,1,0.9175,0.2727,0.5968
"Valine, leucine and isoleucine biosynthesis",14,14,5,0.5408,0.5227,0.6398
"Citrate cycle (TCA cycle)",13,13,3,0.8731,0.3571,0.6752
"Valine, leucine and isoleucine degradation",27,27,10,0.4292,0.7473,0.6855
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,4,1,0.8094,0.4062,0.6945
"Galactose metabolism",9,9,1,0.9768,0.3418,0.7001
"Fatty acid degradation",11,11,2,0.932,0.3625,0.7045
"Selenocompound metabolism",2,2,1,0.5622,0.6098,0.7098
"Linoleic acid metabolism",2,2,1,0.5622,0.6721,0.7456
"Tryptophan metabolism",28,28,4,0.9959,0.3936,0.7591
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",2,2,1,0.5622,0.7049,0.7631
"Ubiquinone and other terpenoid-quinone biosynthesis",4,4,1,0.8094,0.5,0.7708
"Fructose and mannose metabolism",9,9,1,0.9768,0.4177,0.7738
"Fatty acid elongation",9,9,2,0.8664,0.5063,0.8001
"Pyruvate metabolism",7,7,1,0.9458,0.4762,0.8096
"Pantothenate and CoA biosynthesis",28,28,9,0.6487,0.7447,0.8346
"Lysine degradation",18,18,6,0.6073,0.8022,0.8375
"Pyrimidine metabolism",37,37,12,0.6377,0.7879,0.8483
"Glycolysis or Gluconeogenesis",6,6,2,0.6596,0.7922,0.8617
"Inositol phosphate metabolism",6,6,2,0.6596,0.7922,0.8617
"Pentose phosphate pathway",11,11,3,0.7795,0.875,0.943
"Steroid hormone biosynthesis",5,5,1,0.8745,0.7857,0.945
"Pentose and glucuronate interconversions",10,10,2,0.9043,0.8,0.9576
"Primary bile acid biosynthesis",7,7,1,0.9458,0.8148,0.9714
"Fatty acid biosynthesis",8,8,2,0.8152,0.9877,0.9797
"Biosynthesis of unsaturated fatty acids",14,14,1,0.9973,0.9545,0.9988
