"","Total_Size","Hits","Sig_Hits","Mummichog_Pvals","GSEA_Pvals","Combined_Pvals"
"Purine metabolism",31,31,18,4e-04,0.01449,8e-05
"beta-Alanine metabolism",21,21,12,0.00523,0.08333,0.00381
"Arginine biosynthesis",16,16,11,9e-04,0.8923,0.00651
"Glycine, serine and threonine metabolism",32,32,15,0.01952,0.2667,0.03258
"Glyoxylate and dicarboxylate metabolism",17,17,10,0.00844,0.8657,0.04327
"Synthesis and degradation of ketone bodies",7,7,5,0.02383,0.4444,0.05876
"Alanine, aspartate and glutamate metabolism",34,34,14,0.07782,0.1429,0.06115
"Citrate cycle (TCA cycle)",14,14,7,0.07608,0.2121,0.08272
"D-Glutamine and D-glutamate metabolism",11,11,6,0.06487,0.2667,0.08749
"Pantothenate and CoA biosynthesis",25,25,12,0.02991,0.7101,0.103
"Propanoate metabolism",13,13,6,0.1422,0.1515,0.1042
"Pyrimidine metabolism",37,37,14,0.1466,0.1481,0.1049
"Butanoate metabolism",25,25,12,0.02991,0.7536,0.108
"Caffeine metabolism",1,1,1,0.2904,0.07843,0.1089
"Nitrogen metabolism",4,4,3,0.07552,0.3793,0.1304
"Fructose and mannose metabolism",10,10,1,0.9693,0.03333,0.1432
"Amino sugar and nucleotide sugar metabolism",15,15,5,0.4518,0.07576,0.1497
"Cysteine and methionine metabolism",20,20,8,0.1933,0.1944,0.1609
"Valine, leucine and isoleucine biosynthesis",14,14,7,0.07608,0.6667,0.2019
"Tyrosine metabolism",34,34,10,0.5499,0.1071,0.2257
"Glycerophospholipid metabolism",5,5,2,0.4524,0.1587,0.2609
"Sphingolipid metabolism",4,4,2,0.3311,0.2241,0.2672
"Pyruvate metabolism",7,7,4,0.1118,0.6818,0.2725
"Terpenoid backbone biosynthesis",5,5,2,0.4524,0.1795,0.2851
"Glycolysis or Gluconeogenesis",6,6,3,0.2368,0.3846,0.3093
"Inositol phosphate metabolism",6,6,3,0.2368,0.3846,0.3093
"Ascorbate and aldarate metabolism",9,9,2,0.7899,0.125,0.3273
"Steroid hormone biosynthesis",5,5,3,0.1492,0.7619,0.3608
"Aminoacyl-tRNA biosynthesis",27,27,10,0.2289,0.507,0.366
"Fatty acid elongation",9,9,1,0.9562,0.1429,0.4086
"Valine, leucine and isoleucine degradation",25,25,10,0.1533,0.913,0.4151
"Fatty acid biosynthesis",8,8,4,0.1747,0.9385,0.4604
"Fatty acid degradation",11,11,1,0.9784,0.1806,0.483
"Glycerolipid metabolism",4,4,2,0.3311,0.6136,0.527
"Phosphatidylinositol signaling system",4,4,1,0.7482,0.2727,0.5283
"Folate biosynthesis",5,5,1,0.8221,0.2857,0.5752
"Vitamin B6 metabolism",5,5,2,0.4524,0.5397,0.5884
"Ubiquinone and other terpenoid-quinone biosynthesis",4,4,1,0.7482,0.3409,0.6035
"Retinol metabolism",1,1,1,0.2904,0.9216,0.6204
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,4,1,0.7482,0.3636,0.6262
"Taurine and hypotaurine metabolism",8,8,1,0.9377,0.3538,0.6978
"Glutathione metabolism",13,13,4,0.5513,0.6087,0.702
"D-Arginine and D-ornithine metabolism",4,4,1,0.7482,0.5,0.7419
"Drug metabolism - cytochrome P450",8,8,3,0.4239,0.9385,0.7645
"Pentose phosphate pathway",10,10,2,0.8389,0.5,0.7839
"Arginine and proline metabolism",36,36,9,0.7721,0.6351,0.8398
"Porphyrin and chlorophyll metabolism",8,8,2,0.7282,0.7385,0.8714
"Metabolism of xenobiotics by cytochrome P450",10,10,1,0.9693,0.5694,0.8799
"Galactose metabolism",11,11,1,0.9784,0.5667,0.8815
"Histidine metabolism",25,25,6,0.7859,0.7101,0.8836
"Phenylalanine metabolism",8,8,1,0.9377,0.6615,0.9165
"Lysine degradation",18,18,4,0.8196,0.806,0.9345
"Pentose and glucuronate interconversions",10,10,1,0.9693,0.6944,0.9395
"Starch and sucrose metabolism",7,7,1,0.9116,0.75,0.9436
"Nicotinate and nicotinamide metabolism",7,7,1,0.9116,0.7727,0.9512
"Biosynthesis of unsaturated fatty acids",14,14,1,0.9926,0.7273,0.9572
"Tryptophan metabolism",27,27,4,0.9782,0.9437,0.997
