"","Total_Size","Hits","Sig_Hits","Mummichog_Pvals","GSEA_Pvals","Combined_Pvals"
"Glycine, serine and threonine metabolism",32,32,11,0.00433,0.1429,0.00519
"Taurine and hypotaurine metabolism",8,8,3,0.1103,0.01351,0.01119
"Ubiquinone and other terpenoid-quinone biosynthesis",4,4,2,0.1141,0.025,0.01957
"Propanoate metabolism",14,14,5,0.04843,0.1111,0.03349
"Arginine and proline metabolism",37,37,11,0.01507,0.3974,0.03665
"Purine metabolism",30,30,5,0.506,0.01266,0.03876
"Alanine, aspartate and glutamate metabolism",34,34,10,0.02241,0.4167,0.05298
"Tyrosine metabolism",35,35,9,0.0692,0.2,0.07307
"Terpenoid backbone biosynthesis",5,5,1,0.5695,0.02632,0.07795
"Cysteine and methionine metabolism",20,20,7,0.02181,0.6941,0.07857
"Butanoate metabolism",26,26,7,0.08604,0.3867,0.1465
"Nitrogen metabolism",4,4,2,0.1141,0.3387,0.1644
"Valine, leucine and isoleucine biosynthesis",14,14,4,0.1542,0.2963,0.1867
"Glutathione metabolism",14,14,4,0.1542,0.3333,0.2039
"D-Glutamine and D-glutamate metabolism",11,11,3,0.2322,0.2319,0.2112
"D-Arginine and D-ornithine metabolism",5,5,2,0.1717,0.3684,0.2379
"Pentose phosphate pathway",11,11,1,0.8461,0.09091,0.2742
"Arginine biosynthesis",17,17,5,0.1034,0.7821,0.2842
"Primary bile acid biosynthesis",8,8,1,0.742,0.1216,0.3073
"Synthesis and degradation of ketone bodies",7,7,2,0.2951,0.3125,0.312
"Metabolism of xenobiotics by cytochrome P450",12,12,3,0.2774,0.3333,0.3126
"Phosphatidylinositol signaling system",4,4,1,0.49,0.1935,0.3182
"Aminoacyl-tRNA biosynthesis",27,27,6,0.2223,0.4487,0.3297
"Selenocompound metabolism",2,2,1,0.2851,0.3636,0.3386
"Citrate cycle (TCA cycle)",15,15,2,0.7034,0.1481,0.3398
"Valine, leucine and isoleucine degradation",26,26,6,0.1956,0.6933,0.4066
"Pyruvate metabolism",7,7,1,0.6938,0.2188,0.438
"Drug metabolism - cytochrome P450",9,9,2,0.4164,0.4459,0.4983
"Amino sugar and nucleotide sugar metabolism",14,14,2,0.665,0.28,0.4992
"Porphyrin and chlorophyll metabolism",6,6,2,0.2328,0.8235,0.5084
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,4,1,0.49,0.4,0.5154
"Glycolysis or Gluconeogenesis",7,7,2,0.2951,0.7812,0.5688
"Inositol phosphate metabolism",7,7,2,0.2951,0.7812,0.5688
"beta-Alanine metabolism",21,21,3,0.6569,0.3529,0.5707
"Glyoxylate and dicarboxylate metabolism",18,18,4,0.2957,0.8333,0.5915
"Vitamin B6 metabolism",6,6,1,0.6368,0.3971,0.6006
"Pyrimidine metabolism",37,37,5,0.7082,0.375,0.6177
"Glycerolipid metabolism",4,4,1,0.49,0.6,0.6539
"Starch and sucrose metabolism",6,6,1,0.6368,0.5735,0.7331
"Pantothenate and CoA biosynthesis",27,27,3,0.8198,0.4744,0.7562
"Glycerophospholipid metabolism",5,5,1,0.5695,0.7188,0.775
"Sphingolipid metabolism",4,4,1,0.49,0.871,0.7902
"Ascorbate and aldarate metabolism",10,10,2,0.4733,0.9178,0.7966
"Nicotinate and nicotinamide metabolism",6,6,1,0.6368,0.7647,0.8374
"Histidine metabolism",24,24,3,0.7484,0.7013,0.8632
"Fatty acid biosynthesis",8,8,1,0.742,0.7162,0.8674
"Lysine degradation",17,17,2,0.7694,0.7436,0.8916
"Phenylalanine metabolism",7,7,1,0.6938,0.8857,0.9137
"Fructose and mannose metabolism",11,11,1,0.8461,0.7826,0.9351
"Tryptophan metabolism",23,23,1,0.9814,0.7215,0.9525
"Galactose metabolism",10,10,1,0.8171,0.931,0.9688
