Experiment	Pathway	Ratio	pval
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Purine metabolism	0.5806451612903226	8e-05
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	beta-Alanine metabolism	0.5714285714285714	0.00381
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Arginine biosynthesis	0.6875	0.00651
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Glycine, serine and threonine metabolism	0.46875	0.03258
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Glyoxylate and dicarboxylate metabolism	0.5882352941176471	0.04327
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Synthesis and degradation of ketone bodies	0.7142857142857143	0.05876
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Alanine, aspartate and glutamate metabolism	0.4117647058823529	0.06115
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Citrate cycle (TCA cycle)	0.5	0.08272
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	D-Glutamine and D-glutamate metabolism	0.5454545454545454	0.08749
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Pantothenate and CoA biosynthesis	0.48	0.103
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Propanoate metabolism	0.46153846153846156	0.1042
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Pyrimidine metabolism	0.3783783783783784	0.1049
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Butanoate metabolism	0.48	0.108
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Caffeine metabolism	1.0	0.1089
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Nitrogen metabolism	0.75	0.1304
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Fructose and mannose metabolism	0.1	0.1432
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Amino sugar and nucleotide sugar metabolism	0.3333333333333333	0.1497
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Cysteine and methionine metabolism	0.4	0.1609
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Valine, leucine and isoleucine biosynthesis	0.5	0.2019
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Tyrosine metabolism	0.29411764705882354	0.2257
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Glycerophospholipid metabolism	0.4	0.2609
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Sphingolipid metabolism	0.5	0.2672
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Pyruvate metabolism	0.5714285714285714	0.2725
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Terpenoid backbone biosynthesis	0.4	0.2851
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Glycolysis or Gluconeogenesis	0.5	0.3093
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Inositol phosphate metabolism	0.5	0.3093
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Ascorbate and aldarate metabolism	0.2222222222222222	0.3273
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Steroid hormone biosynthesis	0.6	0.3608
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Aminoacyl-tRNA biosynthesis	0.37037037037037035	0.366
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Fatty acid elongation	0.1111111111111111	0.4086
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Valine, leucine and isoleucine degradation	0.4	0.4151
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Fatty acid biosynthesis	0.5	0.4604
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Fatty acid degradation	0.09090909090909091	0.483
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Glycerolipid metabolism	0.5	0.527
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Phosphatidylinositol signaling system	0.25	0.5283
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Folate biosynthesis	0.2	0.5752
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Vitamin B6 metabolism	0.4	0.5884
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Ubiquinone and other terpenoid-quinone biosynthesis	0.25	0.6035
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Retinol metabolism	1.0	0.6204
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Phenylalanine, tyrosine and tryptophan biosynthesis	0.25	0.6262
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Taurine and hypotaurine metabolism	0.125	0.6978
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Glutathione metabolism	0.3076923076923077	0.702
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	D-Arginine and D-ornithine metabolism	0.25	0.7419
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Drug metabolism - cytochrome P450	0.375	0.7645
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Pentose phosphate pathway	0.2	0.7839
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Arginine and proline metabolism	0.25	0.8398
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Porphyrin and chlorophyll metabolism	0.25	0.8714
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Metabolism of xenobiotics by cytochrome P450	0.1	0.8799
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Galactose metabolism	0.09090909090909091	0.8815
DEN_Tumour_Fasted_vs_DEN_Tumour_Fed	Histidine metabolism	0.24	0.8836
